Company	Date	Plant	Storage Location	Material	Profit Center	Moving Type	DCFlag	Quantity	Base UOM	Amount	Currency
C520	2018	12	C521	C521	000009	5200000110	57	PC	0	USD	KI
C520	2018	12	C521	C521	00275273	5200000110	-2	PC	0	USD	KI
C520	2018	12	C521	C521	0EZ01D-106	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	0EZ03D-106	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	0EZ04D-106	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	0EZ10D-106	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	1001MG97	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	100C0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	100C0197	5200000110	9	PC	0	USD	KI
C520	2018	12	C521	C521	100C01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	100C01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	100C01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	100N0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	100N0085	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	101C0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	101C0197	5200000110	28	PC	0	USD	KI
C520	2018	12	C521	C521	101C01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	101C01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	101C01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	101R00V5	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	101W0073	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	102C00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	103C00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	103X00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	104C0070	5200000110	7	PC	0	USD	KI
C520	2018	12	C521	C521	104C0071	5200000110	25	PC	0	USD	KI
C520	2018	12	C521	C521	104C0085	5200000110	23	PC	0	USD	KI
C520	2018	12	C521	C521	104C00F3	5200000110	9	PC	0	USD	KI
C520	2018	12	C521	C521	105T0097	5200000110	6	PC	0	USD	KI
C520	2018	12	C521	C521	105V00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	106A0097	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	106E0072	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	106E0097	5200000110	12	PC	0	USD	KI
C520	2018	12	C521	C521	106E00R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	106F0097	5200000110	21	PC	0	USD	KI
C520	2018	12	C521	C521	106F00R1	5200000110	0	PC	0	USD	KI
