Company	Date	Plant	Storage Location	Material	Profit Center	Moving Type	DCFlag	Quantity	Base UOM	Amount	Currency	SourceSystem
C520	2018/12/07	C521	C521	14-237347	5200000110	201	H	99.000	PC	1,744.38	USD	KI
C520	2018/12/07	C521	C521	14-813171	5200000110	201	H	40.000	PC	26.00	USD	KI
C520	2018/12/07	C521	C521	14-814664	5200000110	201	H	3,700.000	PC	37.00	USD	KI
C520	2018/12/07	C521	C521	14-814665	5200000110	201	H	3,257.000	PC	65.14	USD	KI
C520	2018/12/07	C521	C521	14-814667	5200000110	201	H	20.000	PC	41.20	USD	KI
C520	2018/12/07	C521	C521	14-814668	5200000110	201	H	20.000	PC	20.00	USD	KI
C520	2018/12/07	C521	C521	14-815303	5200000110	201	H	20.000	PC	14.80	USD	KI
C520	2018/12/07	C521	C521	301412	5200000110	201	H	23.000	PC	1,757.89	USD	KI
C520	2018/12/07	C521	C521	ATX3ARMBEB	5200000110	201	H	10.000	PC	117,825,441.59	USD	KI
C520	2018/12/10	C521	C521	10CF00	5200000110	201	H	74.000	PC	29,278.84	USD	KI
C520	2018/12/10	C521	C521	10CH00	5200000110	201	H	74.000	PC	29,278.84	USD	KI
